Rank,Title,Distributor,Domestic gross,Quarter,Opening,Opening.1,Production company,Cast and crew,Ref.,Month,Year,Domestic gross_clean
1.0,Barbie,Warner Bros.,"$636,236,401",Table 1,nan,N/A,N/A,N/A,N/A,nan,2023,636236401.0
2.0,The Super Mario Bros. Movie,Universal,"$574,934,330",Table 1,nan,N/A,N/A,N/A,N/A,nan,2023,574934330.0
3.0,Spider-Man: Across the Spider-Verse,Sony,"$381,593,754",Table 1,nan,N/A,N/A,N/A,N/A,nan,2023,381593754.0
4.0,Guardians of the Galaxy Vol. 3,Disney,"$358,995,815",Table 1,nan,N/A,N/A,N/A,N/A,nan,2023,358995815.0
5.0,Oppenheimer,Universal,"$329,862,540",Table 1,nan,N/A,N/A,N/A,N/A,nan,2023,329862540.0
6.0,The Little Mermaid,Disney,"$298,172,056",Table 1,nan,N/A,N/A,N/A,N/A,nan,2023,298172056.0
7.0,Wonka,Warner Bros.,"$218,377,073",Table 1,nan,N/A,N/A,N/A,N/A,nan,2023,218377073.0
8.0,Ant-Man and the Wasp: Quantumania,Disney,"$214,506,909",Table 1,nan,N/A,N/A,N/A,N/A,nan,2023,214506909.0
9.0,John Wick: Chapter 4,Lionsgate,"$187,131,806",Table 1,nan,N/A,N/A,N/A,N/A,nan,2023,187131806.0
10.0,Sound of Freedom,Angel Studios,"$184,174,617",Table 1,nan,N/A,N/A,N/A,N/A,nan,2023,184174617.0
N/A,M3GAN,N/A,N/A,Table 2,J A N U A R Y,6.0,Universal Pictures / Blumhouse Productions / Atomic Monster,"Gerard Johnstone (director); Akela Cooper (screenplay); Allison Williams, Violet McGraw, Amie Donald, Jenna Davis, Ronny Chieng, Brian Jordan Alvarez",[3],N/A,2023,0.0
N/A,The Old Way,N/A,N/A,Table 2,J A N U A R Y,6.0,Saban Films / Saturn Films,"Brett Donowho (director); Carl W. Lucas (screenplay); Nicolas Cage, Ryan Kiera Armstrong",[4],N/A,2023,0.0
N/A,The Devil Conspiracy,N/A,N/A,Table 2,J A N U A R Y,11.0,Samuel Goldwyn Films,"Nathan Frankowski (director); Ed Alan (screenplay); Alice Orr-Ewing, Joe Doyle, Eveline Hall, Peter Mensah, Joe Anderson, Spencer Wilding, Brian Caspe, James Faulkner",[5],N/A,2023,0.0
N/A,Plane,N/A,N/A,Table 2,J A N U A R Y,13.0,Lionsgate / MadRiver Pictures / Di Bonaventura Pictures,"Jean-François Richet (director); Charles Cumming, J. P. Davis (screenplay); Gerard Butler, Mike Colter, Yoson An, Tony Goldwyn",[6],N/A,2023,0.0
N/A,House Party,N/A,N/A,Table 2,J A N U A R Y,13.0,Warner Bros. Pictures / New Line Cinema,"Calmatic (director); Jamal Olori, Stephen Glover (screenplay); Tosin Cole, Jacob Latimore, Karen Obilom, D.C. Young Fly, Scott Mescudi",[7],N/A,2023,0.0
